Lego_id,Color,Slanted,Letter,Number,Logo,Normal or Tall
1,teal,yes,no,no,no,tall
2,yellow,yes,no,no,no,normal
3,white,no,no,yes,no,normal
4,blue,yes,no,no,yes,normal
5,green,no,no,no,no,tall
6,green,yes,no,no,no,normal
7,red,yes,no,no,yes,normal
8,white,no,yes,no,no,normal
9,teal,yes,no,no,no,normal
10,white,no,no,no,yes,normal
11,white,no,yes,no,no,normal
12,white,yes,no,no,no,normal
13,blue,yes,no,no,yes,normal
14,white,yes,no,no,no,tall
15,black,no,no,no,yes,normal
16,white,yes,no,no,no,tall
17,blue,no,yes,no,yes,normal
18,yellow,no,no,no,yes,normal
19,white,no,yes,no,no,normal
20,grey,yes,no,no,yes,normal
21,red,no,no,no,no,tall
22,grey,yes,no,no,yes,normal
23,white,no,yes,no,no,normal
24,black,yes,no,no,yes,normal
25,yellow,no,no,no,yes,normal
26,black,yes,no,no,no,normal
27,grey,no,no,yes,no,normal
28,white,no,no,no,no,tall
29,pink,yes,no,no,no,normal
30,yellow,no,no,no,yes,normal
31,blue,no,no,no,yes,tall
32,grey,no,yes,no,yes,normal
33,pink,no,yes,no,yes,normal
34,white,no,no,yes,no,normal
35,yellow,no,no,no,no,normal
36,white,no,no,no,yes,normal
37,grey,no,no,no,yes,normal
38,red,no,no,no,yes,normal
39,grey,yes,no,no,yes,normal
40,orange,yes,no,no,no,tall
41,white,yes,no,no,yes,normal
42,blue,yes,no,no,yes,normal
43,blue,no,no,no,no,normal
44,white,yes,no,no,no,normal
45,white,yes,no,no,yes,normal
46,yellow,yes,no,no,no,normal
47,red,yes,no,no,no,tall
48,blue,yes,no,no,no,normal
49,red,no,yes,no,yes,normal
50,yellow,no,no,no,yes,normal
51,grey,yes,no,no,no,normal
52,white,no,no,no,no,tall
53,blue,yes,no,no,yes,normal
54,white,yes,no,no,yes,normal
55,white,no,yes,no,no,normal
56,brown,yes,no,no,no,tall
57,blue,yes,no,no,no,normal
58,grey,yes,no,no,yes,normal
59,white,no,yes,no,no,normal
60,pink,yes,yes,no,no,normal
61,grey,no,no,yes,no,normal
62,red,no,no,no,yes,tall
63,grey,yes,no,no,no,normal
64,blue,yes,no,no,no,tall
65,grey,no,no,no,no,normal
66,green,yes,no,no,no,normal
67,white,no,yes,no,yes,normal
68,pink,no,no,no,yes,normal
69,yellow,yes,no,yes,yes,normal
70,white,no,yes,no,yes,normal
71,teal,no,yes,no,no,normal
72,white,no,yes,no,no,normal
73,purple,no,yes,no,yes,normal
74,grey,yes,no,no,no,tall
75,yellow,yes,no,no,no,tall
76,blue,yes,no,no,no,normal
77,white,no,no,no,no,normal
78,brown,yes,no,no,yes,normal
79,yellow,no,no,no,no,normal
80,red,no,no,no,yes,tall
81,green,yes,no,yes,yes,normal
82,white,no,no,yes,no,normal
83,blue,no,no,no,no,normal
84,red,no,no,no,yes,normal
85,white,yes,no,yes,yes,normal
86,green,yes,no,no,no,normal
87,blue,yes,no,no,yes,normal
88,red,yes,no,no,no,normal
89,blue,yes,no,no,no,normal
90,teal,no,no,no,no,normal
91,white,yes,no,no,yes,normal
92,white,yes,no,no,yes,normal
93,white,no,no,yes,no,normal
94,black,yes,no,yes,yes,normal
95,blue,yes,no,no,no,normal
96,blue,yes,no,no,no,tall
97,grey,yes,no,no,yes,normal
98,orange,yes,no,no,no,normal
99,blue,no,no,no,no,normal
100,grey,no,no,no,no,tall
